Movie Title,Gross Earnings ($),Release Date,Distributor,Year,Movie Genre,Animated/Live Action,Primary Movie Genre,Rated,imdb Rating,Soundtrack Genre,Primary Soundtrack Genre
Jumanji: The Next Level,124736710,Dec 13,Sony Pictures Releasing,2020,"Action, Adventure, Comedy",Live Action,Action,PG-13,6.6,ambient,ambient
Star Wars: Episode IX - The Rise of Skywalker,124496308,Dec 20,Walt Disney Studios Motion Pictures,2020,"Action, Adventure, Fantasy",Live Action,Action,PG-13,6.4,classical,classical
Avengers: Endgame,858373000,Apr 26,Walt Disney Studios Motion Pictures,2019,"Action, Adventure, Sci-Fi",Live Action,Action,PG-13,8.4,Genre not found,instrumental
The Lion King,543638043,Jul 19,Walt Disney Studios Motion Pictures,2019,"Animation, Adventure, Drama",Animation, Adventure,G,8.5,rnb,rap
Toy Story 4,434038008,Jun 21,Walt Disney Studios Motion Pictures,2019,"Animation, Adventure, Comedy",Animation, Adventure,G,7.6,singer-songwriter,singer-songwriter
Frozen II,430144682,Nov 22,Walt Disney Studios Motion Pictures,2019,"Animation, Adventure, Comedy",Animation, Adventure,PG,6.8,classical,classical
Captain Marvel,426829839,Mar 8,Walt Disney Studios Motion Pictures,2019,"Action, Adventure, Sci-Fi",Live Action,Action,PG-13,6.8,orchestral,classical
Star Wars: Episode IX - The Rise of Skywalker,390706234,Dec 20,Walt Disney Studios Motion Pictures,2019,"Action, Adventure, Fantasy",Live Action,Action,PG-13,6.4,classical,classical
Spider-Man: Far from Home,390532085,Jul 2,Sony Pictures Releasing,2019,"Action, Adventure, Comedy",Live Action,Action,PG-13,7.4,Genre not found,instrumental
Aladdin,355559216,May 24,Walt Disney Studios Motion Pictures,2019,"Animation, Adventure, Comedy",Animation, Adventure,G,8.0,electronic,electronic
Joker,333772511,Oct 4,Warner Bros.,2019,"Crime, Drama, Thriller",Live Action,Crime,R,8.3,classic rock,rock
It Chapter Two,211593228,Sep 6,Warner Bros.,2019,"Drama, Fantasy, Horror",Live Action,Drama,R,6.5,classical,classical
Jumanji: The Next Level,192094536,Dec 13,Sony Pictures Releasing,2019,"Action, Adventure, Comedy",Live Action,Action,PG-13,6.6,ambient,ambient
Us,175084580,Mar 22,Universal Pictures,2019,"Horror, Mystery, Thriller",Live Action,Horror,R,6.8,pop,pop
Fast & Furious Presents: Hobbs & Shaw,173956935,Aug 2,Universal Pictures,2019,"Action, Adventure, Thriller",Live Action,Action,PG-13,6.5,electronic,electronic
John Wick: Chapter 3 - Parabellum,171015687,May 17,Lionsgate,2019,"Action, Crime, Thriller",Live Action,Action,R,7.4,Genre not found,instrumental
How to Train Your Dragon: The Hidden World,160799505,Feb 22,Universal Pictures,2019,"Animation, Action, Adventure",Animation, Action,PG,7.4,classical,classical
The Secret Life of Pets 2,157949395,Jun 7,Universal Pictures,2019,"Animation, Adventure, Comedy",Animation, Adventure,PG,6.4,classical,classical
Pokémon: Detective Pikachu,144105346,May 10,Warner Bros.,2019,"Adventure, Comedy, Family",Live Action,Adventure,PG,6.5,electronic,electronic
Once Upon a Time... in Hollywood,141076968,Jul 26,Sony Pictures Releasing,2019,"Comedy, Drama",Live Action,Comedy,R,7.6,electronic,electronic
Shazam!,140371656,Apr 5,Warner Bros.,2019,"Action, Adventure, Comedy",Live Action,Action,PG-13,7.0,experimental,experimental
Aquaman,136001983,Dec 21,Warner Bros.,2019,"Action, Adventure, Fantasy",Live Action,Action,PG-13,6.8,Genre not found,instrumental
Knives Out,115711579,Nov 27,Lionsgate,2019,"Comedy, Crime, Drama",Live Action,Comedy,PG-13,7.9,alternative,alternative
Dumbo,114766307,Mar 29,Walt Disney Studios Motion Pictures,2019,"Animation, Adventure, Drama",Animation, Adventure,G,7.2,pop,pop
Maleficent: Mistress of Evil,113294737,Oct 18,Walt Disney Studios Motion Pictures,2019,"Adventure, Drama, Family",Live Action,Adventure,PG,6.6,classical,classical
Glass,111048468,Jan 18,Universal Pictures,2019,"Drama, Horror, Sci-Fi",Live Action,Drama,PG-13,6.6,indie rock,rock
Godzilla: King of the Monsters,110500138,May 31,Warner Bros.,2019,"Action, Adventure, Fantasy",Live Action,Action,PG-13,6.0,battlestar galactica,battlestar galactica
The Upside,108252517,Jan 11,STX Entertainment,2019,"Comedy, Drama",Live Action,Comedy,PG-13,7.0,grunge,rock
Ford v Ferrari,107196444,Nov 15,Twentieth Century Fox,2019,"Action, Biography, Drama",Live Action,Action,PG-13,8.1,Genre not found,instrumental
The Lego Movie 2: The Second Part,105806508,Feb 8,Warner Bros.,2019,"Animation, Adventure, Comedy",Animation, Adventure,PG,6.5,electronic,electronic
Hustlers,104960643,Sep 13,STX Entertainment,2019,"Comedy, Crime, Drama",Live Action,Comedy,R,6.3,rap,rap
Black Panther,700059566,Feb 16,Walt Disney Studios Motion Pictures,2018,"Action, Adventure, Sci-Fi",Live Action,Action,PG-13,7.3,hip-hop,rap
Avengers: Infinity War,678815482,Apr 27,Walt Disney Studios Motion Pictures,2018,"Action, Adventure, Sci-Fi",Live Action,Action,PG-13,8.4,Genre not found,instrumental
Incredibles 2,608581744,Jun 15,Walt Disney Studios Motion Pictures,2018,"Animation, Action, Adventure",Animation, Action,PG,7.5,Genre not found,instrumental
Jurassic World: Fallen Kingdom,417719760,Jun 22,Universal Pictures,2018,"Action, Adventure, Sci-Fi",Live Action,Action,PG-13,6.1,Genre not found,instrumental
Deadpool 2,318491426,May 18,Twentieth Century Fox,2018,"Action, Adventure, Comedy",Live Action,Action,R,7.6,electronic,electronic
The Grinch,266280410,Nov 9,Universal Pictures,2018,"Animation, Comedy, Family",Animation, Comedy,PG,6.4,electronic,electronic
Jumanji: Welcome to the Jungle,235512923,Dec 20,Sony Pictures Releasing,2018,"Action, Adventure, Comedy",Live Action,Action,PG-13,7.0,ambient,ambient
Mission: Impossible - Fallout,220159104,Jul 27,Paramount Pictures,2018,"Action, Adventure, Thriller",Live Action,Action,PG-13,7.7,Genre not found,instrumental
Ant-Man and the Wasp,216648740,Jul 6,Walt Disney Studios Motion Pictures,2018,"Action, Adventure, Comedy",Live Action,Action,PG-13,7.0,Genre not found,instrumental
Solo: A Star Wars Story,213767512,May 25,Walt Disney Studios Motion Pictures,2018,"Action, Adventure, Sci-Fi",Live Action,Action,PG-13,6.9,classical,classical
Venom,213312395,Oct 5,Sony Pictures Releasing,2018,"Action, Adventure, Sci-Fi",Live Action,Action,PG-13,6.6,k-pop,k-pop
A Star Is Born,201157885,Oct 5,Warner Bros.,2018,"Drama, Music, Romance",Live Action,Drama,R,7.6,pop,pop
Aquaman,199059824,Dec 21,Warner Bros.,2018,"Action, Adventure, Fantasy",Live Action,Action,PG-13,6.8,Genre not found,instrumental
Bohemian Rhapsody,189813133,Nov 2,Twentieth Century Fox,2018,"Biography, Drama, Music",Live Action,Biography,PG-13,7.9,classic rock,rock
