Movie Title,Gross Earnings ($),Release Date,Distributor,Year,Movie Genre,Animated/Live Action,Primary Movie Genre,Rated,imdb Rating,Soundtrack Genre,Primary Soundtrack Genre
War for the Planet of the Apes,146880162,Jul 14,Twentieth Century Fox,2017,"Action, Adventure, Drama",Live Action,Action,PG-13,7.4,Genre not found,instrumental
Split,138291365,Jan 20,Universal Pictures,2017,"Horror, Thriller",Live Action,Horror,PG-13,7.3,punk rock,rock
Transformers: The Last Knight,130168683,Jun 21,Paramount Pictures,2017,"Action, Adventure, Sci-Fi",Live Action,Action,PG-13,5.2,Genre not found,instrumental
Rogue One: A Star Wars Story,123941474,Dec 16,Walt Disney Studios Motion Pictures,2017,"Action, Adventure, Sci-Fi",Live Action,Action,PG-13,7.8,Genre not found,instrumental
Wonder,121559294,Nov 17,Lionsgate,2017,"Drama, Family",Live Action,Drama,PG,7.9,k-pop,k-pop
La La Land,120121532,Dec 9,Lionsgate,2017,"Comedy, Drama, Music",Live Action,Comedy,PG-13,8.0,jazz,jazz
Sing,117541430,Dec 21,Universal Pictures,2017,"Animation, Comedy, Family",Animation, Comedy,PG,7.1,bedroom pop,pop
Girls Trip,115171585,Jul 21,Universal Pictures,2017,"Adventure, Comedy, Drama",Live Action,Adventure,R,6.2,lo-fi,electronic
Fifty Shades Darker,114581250,Feb 10,Universal Pictures,2017,"Drama, Mystery, Romance",Live Action,Drama,R,4.6,electronic,electronic
Baby Driver,107825862,Jun 28,TriStar Pictures,2017,"Action, Crime, Drama",Live Action,Action,R,7.5,electronic,electronic
Annabelle: Creation,102092201,Aug 11,Warner Bros.,2017,"Horror, Mystery, Thriller",Live Action,Horror,R,6.5,classical,classical
Daddy's Home 2,101791381,Nov 10,Paramount Pictures,2017,Comedy,Live Action,Comedy,PG-13,6.0,doo wop,rock
Murder on the Orient Express,100619624,Nov 10,Twentieth Century Fox,2017,"Crime, Drama, Mystery",Live Action,Crime,PG-13,6.5,classical,classical
Kingsman: The Golden Circle,100225686,Sep 22,Twentieth Century Fox,2017,"Action, Adventure, Comedy",Live Action,Action,R,6.7,ambient,ambient
Finding Dory,486295561,Jun 17,Walt Disney Studios Motion Pictures,2016,"Animation, Adventure, Comedy",Animation, Adventure,PG,7.2,ambient,ambient
Rogue One: A Star Wars Story,408235850,Dec 16,Walt Disney Studios Motion Pictures,2016,"Action, Adventure, Sci-Fi",Live Action,Action,PG-13,7.8,Genre not found,instrumental
Captain America: Civil War,408084349,May 6,Walt Disney Studios Motion Pictures,2016,"Action, Sci-Fi",Live Action,Action,PG-13,7.8,ambient,ambient
The Secret Life of Pets,368384330,Jul 8,Universal Pictures,2016,"Animation, Adventure, Comedy",Animation, Adventure,PG,6.5,classical,classical
The Jungle Book,364001123,Apr 15,Walt Disney Studios Motion Pictures,2016,"Animation, Action, Adventure",Animation, Action,PG,7.3,electronic,electronic
Deadpool,363070709,Feb 12,Twentieth Century Fox,2016,"Action, Comedy, Sci-Fi",Live Action,Action,R,8.0,pop,pop
Zootopia,341268248,Mar 4,Walt Disney Studios Motion Pictures,2016,"Animation, Action, Adventure",Animation, Action,PG,8.0,Genre not found,instrumental
Batman v Superman: Dawn of Justice,330360194,Mar 25,Warner Bros.,2016,"Action, Adventure, Sci-Fi",Live Action,Action,R,6.5,classical,classical
Suicide Squad,325100054,Aug 5,Warner Bros.,2016,"Action, Adventure, Fantasy",Live Action,Action,PG-13,5.9,electronic,electronic
Star Wars: Episode VII - The Force Awakens,284694956,Dec 18,Walt Disney Studios Motion Pictures,2016,"Action, Adventure, Sci-Fi",Live Action,Action,PG-13,7.8,classical,classical
Doctor Strange,229876337,Nov 4,Walt Disney Studios Motion Pictures,2016,"Action, Adventure, Fantasy",Live Action,Action,PG-13,7.5,classical,classical
Fantastic Beasts and Where to Find Them,222675573,Nov 18,Warner Bros.,2016,"Adventure, Family, Fantasy",Live Action,Adventure,PG-13,7.2,classical,classical
Moana,206477478,Nov 23,Walt Disney Studios Motion Pictures,2016,"Animation, Adventure, Comedy",Animation, Adventure,PG,7.6,electronic,electronic
The Revenant,182765375,Dec 25,Twentieth Century Fox,2016,"Action, Adventure, Drama",Live Action,Action,R,8.0,japanese,national
Jason Bourne,162434410,Jul 29,Universal Pictures,2016,"Action, Thriller",Live Action,Action,PG-13,6.6,classical,classical
Star Trek Beyond,158848340,Jul 22,Paramount Pictures,2016,"Action, Adventure, Sci-Fi",Live Action,Action,PG-13,7.0,Genre not found,instrumental
X-Men: Apocalypse,155442489,May 27,Twentieth Century Fox,2016,"Action, Adventure, Sci-Fi",Live Action,Action,PG-13,6.8,Genre not found,instrumental
Sing,152853995,Dec 21,Universal Pictures,2016,"Animation, Comedy, Family",Animation, Comedy,PG,7.1,bedroom pop,pop
Trolls,150130292,Nov 4,Twentieth Century Fox,2016,"Animation, Adventure, Comedy",Animation, Adventure,PG,6.4,pop,pop
Kung Fu Panda 3,143528619,Jan 29,Twentieth Century Fox,2016,"Animation, Action, Adventure",Animation, Action,PG,7.1,classical,classical
Ghostbusters,128350574,Jul 15,Sony Pictures Releasing,2016,"Action, Comedy, Fantasy",Live Action,Action,PG,7.8,electronic,electronic
Central Intelligence,127440871,Jun 17,Warner Bros.,2016,"Action, Comedy, Crime",Live Action,Action,PG-13,6.3,contemporary classical,classical
The Legend of Tarzan,126643061,Jul 1,Warner Bros.,2016,"Action, Adventure, Drama",Live Action,Action,PG-13,6.2,Genre not found,instrumental
Sully,124976335,Sep 9,Warner Bros.,2016,"Biography, Drama",Live Action,Biography,PG-13,7.4,electronic,electronic
Bad Moms,113257297,Jul 29,STX Entertainment,2016,Comedy,Live Action,Comedy,R,6.2,electronic,electronic
The Angry Birds Movie,107509366,May 20,Sony Pictures Releasing,2016,"Animation, Action, Adventure",Animation, Action,PG,6.3,electronic,electronic
Independence Day: Resurgence,103144286,Jun 24,Twentieth Century Fox,2016,"Action, Adventure, Sci-Fi",Live Action,Action,PG-13,5.2,austria,national
The Conjuring 2,102470008,Jun 10,Warner Bros.,2016,"Horror, Mystery, Thriller",Live Action,Horror,R,7.3,industrial,electronic
Jurassic World,652270625,Jun 12,Universal Pictures,2015,"Action, Adventure, Sci-Fi",Live Action,Action,PG-13,6.9,Genre not found,instrumental
